date,base,quote,rate
2023-09-05,USD,LKR,319.2
2023-09-06,USD,LKR,319.48
2023-09-07,USD,LKR,320.65
2023-09-08,USD,LKR,320.53
2023-09-11,USD,LKR,319.33
2023-09-12,USD,LKR,319.67
2023-09-13,USD,LKR,319.78
2023-09-14,USD,LKR,319.89
2023-09-15,USD,LKR,320.44
2023-09-18,USD,LKR,321.16
2023-09-19,USD,LKR,323.9
2023-09-20,USD,LKR,324.04
2023-09-21,USD,LKR,323.85
2023-09-22,USD,LKR,323.68
2023-09-25,USD,LKR,323.46
2023-09-26,USD,LKR,323.43
2023-09-27,USD,LKR,323.12
2023-09-28,USD,LKR,323.44
2023-09-29,USD,LKR,322.95
2023-10-02,USD,LKR,323.76
2023-10-03,USD,LKR,323.95
2023-10-04,USD,LKR,323.65
2023-10-05,USD,LKR,323.35
2023-10-06,USD,LKR,323.08
2023-10-09,USD,LKR,323.18
2023-10-10,USD,LKR,323.16
2023-10-11,USD,LKR,323.55
2023-10-12,USD,LKR,323.45
2023-10-13,USD,LKR,323.95
2023-10-16,USD,LKR,323.83
2023-10-17,USD,LKR,323.83
2023-10-18,USD,LKR,324.32
2023-10-19,USD,LKR,324.7
2023-10-20,USD,LKR,325.02
2023-10-23,USD,LKR,325.45
2023-10-24,USD,LKR,326.22
2023-10-25,USD,LKR,326.49
2023-10-26,USD,LKR,326.38
2023-10-27,USD,LKR,326.51
2023-10-30,USD,LKR,326.71
2023-10-31,USD,LKR,327.02
2023-11-01,USD,LKR,327.44
2023-11-02,USD,LKR,327.62
2023-11-03,USD,LKR,327.85
2023-11-06,USD,LKR,327.37
2023-11-07,USD,LKR,327.2
2023-11-08,USD,LKR,327.79
2023-11-09,USD,LKR,327.56
2023-11-10,USD,LKR,326.93
2023-11-13,USD,LKR,326.7
2023-11-14,USD,LKR,326.98
2023-11-15,USD,LKR,327.95
2023-11-16,USD,LKR,328.1
2023-11-17,USD,LKR,327.64
2023-11-20,USD,LKR,327.76
2023-11-21,USD,LKR,328.02
2023-11-22,USD,LKR,328.21
2023-11-23,USD,LKR,328.13
2023-11-24,USD,LKR,328.3
2023-11-27,USD,LKR,328.45
2023-11-28,USD,LKR,328.8
2023-11-29,USD,LKR,328.83
2023-11-30,USD,LKR,328.86
2023-12-01,USD,LKR,328.93
2023-12-04,USD,LKR,329.31
2023-12-05,USD,LKR,329.29
2023-12-06,USD,LKR,328.38
2023-12-07,USD,LKR,327.96
2023-12-08,USD,LKR,327.48
2023-12-11,USD,LKR,328.22
2023-12-12,USD,LKR,328.21
2023-12-13,USD,LKR,327.78
2023-12-14,USD,LKR,326.95
2023-12-15,USD,LKR,326.3
2023-12-18,USD,LKR,326.6
2023-12-19,USD,LKR,326.62
2023-12-20,USD,LKR,326.8
2023-12-21,USD,LKR,326.55
2023-12-22,USD,LKR,325.63
2023-12-26,USD,LKR,325.33
2023-12-27,USD,LKR,325.55
2023-12-28,USD,LKR,324.78
2023-12-29,USD,LKR,325.33
2024-01-01,USD,LKR,324.54
2024-01-02,USD,LKR,322.12
2024-01-03,USD,LKR,321.91
2024-01-04,USD,LKR,321.98
2024-01-05,USD,LKR,322.14
2024-01-08,USD,LKR,322.83
2024-01-09,USD,LKR,322.83
2024-01-10,USD,LKR,323.12
2024-01-11,USD,LKR,323.09
2024-01-12,USD,LKR,322.78
2024-01-15,USD,LKR,322.82
2024-01-16,USD,LKR,323.2
2024-01-17,USD,LKR,322.17
2024-01-18,USD,LKR,319.85
2024-01-19,USD,LKR,319.4
2024-01-22,USD,LKR,319.47
2024-01-23,USD,LKR,318.84
2024-01-24,USD,LKR,318.05
2024-01-25,USD,LKR,318.59
2024-01-26,USD,LKR,317.75
2024-01-29,USD,LKR,317.64
2024-01-30,USD,LKR,317.48
