date,base,quote,rate
2025-12-22,USD,LKR,310.28
2025-12-23,USD,LKR,309.65
2025-12-24,USD,LKR,310.15
2025-12-26,USD,LKR,310.16
2025-12-29,USD,LKR,310.12
2025-12-30,USD,LKR,310.33
2025-12-31,USD,LKR,310.37
2026-01-01,USD,LKR,310.37
2026-01-02,USD,LKR,310.11
2026-01-05,USD,LKR,310.26
2026-01-06,USD,LKR,310.12
2026-01-07,USD,LKR,310.54
2026-01-08,USD,LKR,310.54
2026-01-09,USD,LKR,310.12
2026-01-12,USD,LKR,309.8
2026-01-13,USD,LKR,309.61
2026-01-14,USD,LKR,309.71
2026-01-15,USD,LKR,309.75
2026-01-16,USD,LKR,310.12
2026-01-19,USD,LKR,310.05
2026-01-20,USD,LKR,309.83
2026-01-21,USD,LKR,310.19
2026-01-22,USD,LKR,310.33
2026-01-23,USD,LKR,309.85
2026-01-26,USD,LKR,309.97
2026-01-27,USD,LKR,310.3
2026-01-28,USD,LKR,310.0
2026-01-29,USD,LKR,309.91
2026-01-30,USD,LKR,310.16
2026-02-02,USD,LKR,310.12
2026-02-03,USD,LKR,310.32
2026-02-04,USD,LKR,310.01
2026-02-05,USD,LKR,310.05
2026-02-06,USD,LKR,309.87
2026-02-09,USD,LKR,310.28
2026-02-10,USD,LKR,309.54
2026-02-11,USD,LKR,309.92
2026-02-12,USD,LKR,309.85
2026-02-13,USD,LKR,310.01
2026-02-16,USD,LKR,309.56
2026-02-17,USD,LKR,309.41
2026-02-18,USD,LKR,309.37
2026-02-19,USD,LKR,310.19
2026-02-20,USD,LKR,310.49
2026-02-23,USD,LKR,309.9
2026-02-24,USD,LKR,309.69
2026-02-25,USD,LKR,309.99
2026-02-26,USD,LKR,309.78
2026-02-27,USD,LKR,309.65
2026-03-02,USD,LKR,310.32
2026-03-03,USD,LKR,310.43
2026-03-04,USD,LKR,310.84
2026-03-05,USD,LKR,310.66
2026-03-06,USD,LKR,311.51
2026-03-09,USD,LKR,311.27
2026-03-10,USD,LKR,311.13
2026-03-11,USD,LKR,311.28
2026-03-12,USD,LKR,311.07
2026-03-13,USD,LKR,311.45
2026-03-16,USD,LKR,311.85
2026-03-17,USD,LKR,311.45
2026-03-18,USD,LKR,311.85
2026-03-19,USD,LKR,312.27
2026-03-20,USD,LKR,312.15
2026-03-23,USD,LKR,312.02
2026-03-24,USD,LKR,313.08
2026-03-25,USD,LKR,313.88
2026-03-26,USD,LKR,314.0
2026-03-27,USD,LKR,315.1
2026-03-30,USD,LKR,315.26
2026-03-31,USD,LKR,315.31
2026-04-01,USD,LKR,314.15
2026-04-02,USD,LKR,314.86
2026-04-03,USD,LKR,314.72
2026-04-06,USD,LKR,314.84
2026-04-07,USD,LKR,315.41
2026-04-08,USD,LKR,315.08
2026-04-09,USD,LKR,315.19
2026-04-10,USD,LKR,315.37
2026-04-13,USD,LKR,315.52
2026-04-14,USD,LKR,315.22
2026-04-15,USD,LKR,315.41
2026-04-16,USD,LKR,315.63
2026-04-17,USD,LKR,315.67
2026-04-20,USD,LKR,316.44
2026-04-21,USD,LKR,315.64
2026-04-22,USD,LKR,316.43
2026-04-23,USD,LKR,316.71
2026-04-24,USD,LKR,317.37
2026-04-27,USD,LKR,317.28
2026-04-28,USD,LKR,319.34
2026-04-29,USD,LKR,318.61
2026-04-30,USD,LKR,318.94
2026-05-01,USD,LKR,318.99
2026-05-04,USD,LKR,320.32
2026-05-05,USD,LKR,318.68
2026-05-06,USD,LKR,319.45
2026-05-07,USD,LKR,319.86
2026-05-08,USD,LKR,321.96
2026-05-11,USD,LKR,320.87
2026-05-12,USD,LKR,322.96
2026-05-13,USD,LKR,324.5
2026-05-14,USD,LKR,325.46
2026-05-15,USD,LKR,326.28
2026-05-18,USD,LKR,328.38
2026-05-19,USD,LKR,330.29
2026-05-20,USD,LKR,333.35
2026-05-21,USD,LKR,341.15
2026-05-22,USD,LKR,334.42
2026-05-25,USD,LKR,330.28
2026-05-26,USD,LKR,324.01
2026-05-27,USD,LKR,325.92
2026-05-28,USD,LKR,326.96
2026-05-29,USD,LKR,327.97
2026-06-01,USD,LKR,329.8
2026-06-02,USD,LKR,330.71
2026-06-03,USD,LKR,332.92
2026-06-04,USD,LKR,334.16
2026-06-05,USD,LKR,334.74
2026-06-08,USD,LKR,335.46
2026-06-09,USD,LKR,337.56
2026-06-10,USD,LKR,331.07
2026-06-11,USD,LKR,331.73
2026-06-12,USD,LKR,333.63
2026-06-15,USD,LKR,332.14
2026-06-16,USD,LKR,332.12
2026-06-17,USD,LKR,333.0
2026-06-18,USD,LKR,334.04
2026-06-19,USD,LKR,333.69
2026-06-22,USD,LKR,334.27
2026-06-23,USD,LKR,334.04
2026-06-24,USD,LKR,334.83
2026-06-25,USD,LKR,335.6
2026-06-26,USD,LKR,335.25
2026-06-29,USD,LKR,337.09
2026-06-30,USD,LKR,336.94
2026-07-01,USD,LKR,336.88
2026-07-02,USD,LKR,337.02
2026-07-03,USD,LKR,334.34
2026-07-06,USD,LKR,333.99
2026-07-07,USD,LKR,334.21
2026-07-08,USD,LKR,334.26
2026-07-09,USD,LKR,334.83
2026-07-10,USD,LKR,335.19
2026-07-13,USD,LKR,334.74
2026-07-14,USD,LKR,337.09
2026-07-15,USD,LKR,337.4
2026-07-16,USD,LKR,337.25
2026-07-17,USD,LKR,337.01
2026-07-20,USD,LKR,337.12
2026-07-21,USD,LKR,337.15
2026-07-22,USD,LKR,337.46
2026-07-23,USD,LKR,335.35
2026-07-24,USD,LKR,335.44
2026-07-27,USD,LKR,335.03
2026-07-28,USD,LKR,337.17
2026-07-29,USD,LKR,336.84
2026-07-30,USD,LKR,334.8
2026-07-31,USD,LKR,334.47
2026-08-03,USD,LKR,334.38
2026-08-04,USD,LKR,336.36
2026-08-05,USD,LKR,335.03
2026-08-06,USD,LKR,334.87
2026-08-07,USD,LKR,334.82
2026-08-10,USD,LKR,334.75
2026-08-11,USD,LKR,335.88
2026-08-12,USD,LKR,333.72
2026-08-13,USD,LKR,333.15
