date,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,usd_lkr_rate,tourist_arrivals
2023-01-09,21.08,25.08142857142857,28.40142857142857,22.419999999999998,363.798,21714
2023-01-16,22.25,24.368571428571432,28.197142857142858,21.104285714285712,363.26599999999996,23769
2023-01-23,13.43,24.564285714285713,28.064285714285713,21.735714285714288,363.442,24635
2023-01-30,30.209999999999997,25.011428571428574,28.344285714285714,22.20285714285714,363.77200000000005,23374
2023-02-06,38.14,25.35571428571429,27.93857142857143,23.444285714285716,363.476,25853
2023-02-13,8.43,25.35571428571429,29.30857142857143,22.025714285714287,363.086,28568
2023-02-20,34.089999999999996,25.072857142857142,29.49285714285714,21.34857142857143,363.032,27093
2023-02-27,11.73,25.631428571428575,29.821428571428573,21.807142857142857,362.334,26237
2023-03-06,18.51,26.472857142857144,30.181428571428572,23.307142857142857,351.128,27425
2023-03-13,30.310000000000002,26.795714285714286,30.14428571428571,23.97,323.64,29475
2023-03-20,41.839999999999996,27.252857142857142,29.91857142857143,24.85571428571429,334.582,27488
2023-03-27,45.87,27.41,30.21142857142857,25.085714285714285,321.776,28739
2023-04-03,28.009999999999998,27.53142857142857,30.381428571428568,25.108571428571427,324.77,27911
2023-04-10,62.31,27.66714285714286,30.622857142857146,24.985714285714288,321.74,23563
2023-04-17,18.0,27.91142857142857,30.667142857142856,25.367142857142856,320.37,23701
2023-04-24,22.13,28.165714285714284,30.434285714285714,26.25857142857143,320.198,24346
2023-05-01,138.9,27.864285714285717,30.517142857142858,25.65857142857143,320.408,24890
2023-05-08,116.7,27.03,28.774285714285718,25.717142857142857,319.066,17919
2023-05-15,45.300000000000004,27.68,29.34714285714286,26.41142857142857,314.86199999999997,17565
2023-05-22,26.85,27.650000000000002,29.46142857142857,26.3,308.334,21133
2023-05-29,7.4799999999999995,27.63,29.645714285714288,26.09714285714286,303.174,18565
2023-06-05,48.59,27.509999999999998,29.094285714285714,26.22714285714286,292.71799999999996,18855
2023-06-12,39.16,27.53142857142857,28.990000000000002,26.554285714285715,293.264,20715
2023-06-19,28.38,27.23,28.674285714285713,26.145714285714288,306.544,21355
2023-06-26,26.48,27.108571428571427,28.708571428571425,25.91,307.424,27722
2023-07-03,53.87,26.527142857142856,27.837142857142858,25.534285714285716,308.51,28747
2023-07-10,44.54,26.38714285714286,28.24142857142857,25.041428571428572,308.12399999999997,29911
2023-07-17,8.8,26.72714285714286,28.517142857142858,25.359999999999996,313.746,32954
2023-07-24,17.58,26.78142857142857,28.34857142857143,25.662857142857142,321.24,34750
2023-07-31,14.29,26.697142857142858,28.635714285714283,25.322857142857142,326.512,33062
2023-08-07,2.8899999999999997,26.72142857142857,28.75714285714286,25.284285714285716,317.116,35775
2023-08-14,13.22,26.897142857142857,28.84,25.464285714285715,317.58599999999996,37890
2023-08-21,2.98,26.955714285714286,29.38,25.25714285714286,319.32800000000003,29347
2023-08-28,12.709999999999999,27.351428571428574,29.488571428571426,25.83142857142857,320.642,23576
2023-09-04,137.7,26.66,28.264285714285712,25.408571428571427,319.798,25546
2023-09-11,83.23,26.610000000000003,28.25142857142857,25.422857142857143,319.838,27380
2023-09-18,58.07,26.560000000000002,28.53142857142857,25.071428571428573,320.188,26284
2023-09-25,75.33,26.552857142857142,28.419999999999998,25.101428571428574,323.786,23104
